Wind_Farm,,Common_name,Name,Number,EPBC_Status,FFG_Status,Bioregional_conservation_status,Type,Report_Table_Num,Potential_Impact,Potential_Impact_Significance,Notes
Greater Gippsland,,White-winged Black Tern,Chlidonias leucopterus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Crested Tern,Thalasseus bergii,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Double-banded Plover,Charadrius bicinctus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Oriental Plover,Charadrius veredus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Little Curlew,Numenius minutus,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Red-necked Stint,Calidris ruficollis,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Sharptailed Sandpiper,Calidris acuminata,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Sanderling,Calidris alba,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Pectoral Sandpiper,Calidris melanotos,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Yellow Wagtail,Motacilla flava,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Rufous Faintail,Rhipidura rufifrons,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Satin Flycatcher,Myiagra cyanoleuca,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Black-faced Monarch,Monarcha melanopsis,,,,,Migratory EPBC Act species that are predicted to occur within the search area,11,,,
Greater Gippsland,,Long-nosed fur-seal,Arctocephalus forsteri,,Marine,V,,Marine Fauna,10,,,
Greater Gippsland,,Sei Whale,Balaenoptera borealis,,"VU, Migratory",,,Marine Fauna,10,,Not Significant,
Greater Gippsland,,Blue Whale,Balaenoptera musculus,,"EN, Migratory",Cr,,Marine Fauna,10,,Potentially significant,
Greater Gippsland,,Fin Whale,Balaenoptera physalus,,"VU, Migratory",,,Marine Fauna,10,,Not Significant,
Greater Gippsland,,Pygmy right whale,Caperea marginata,,Migratory,,,Marine Fauna,10,,,
Greater Gippsland,,Southern Right Whale,Eubalaena australis,,"EN, Migratory",Cr,,Marine Fauna,10,,Potentially significant,
Greater Gippsland,,Humpback Whale,Megaptera novaeangliae,,Migratory,V,,Marine Fauna,10,,,
Greater Gippsland,,Killer Whale,Orcinus orca,,Migratory,,,Marine Fauna,10,,,
Greater Gippsland,,Dusky Dolphin,Lagenorhynchus obscurus,,Migratory,,,Marine Fauna,10,,,
Greater Gippsland,,Loggerhead Turtle,Caretta caretta,,"EN, Migratory",,,Marine Fauna,10,,Not Significant,
Greater Gippsland,,Green Turtle,Chelonia mydas,,"VU, Migratory",,,Marine Fauna,10,,,
Greater Gippsland,,Leatherback Turtle,Dermochelys coriacea,,"EN, Migratory",Cr,,Marine Fauna,10,,Not Significant,
Greater Gippsland,,Shortfin mako,Isurus oxyrinchus,,Migratory,,,Marine Fauna,10,,Not Significant,Mako is listed as potentially significant in Table 7.2 but is not listed in the species list? shortfin mako is not significant in Table 7.3 (double check)
Greater Gippsland,,Australian grayling,Prototroctes maraena,,VU,,,Marine Fauna,10,Unlikely,,
Greater Gippsland,,White shark,Carcharodon carcharias,,"VU, Migratory",E,,Marine Fauna,10,,Potentially significant,
Greater Gippsland,,Porbeagle,Lamna nasus,,Migratory,,,Marine Fauna,10,,,
Greater Gippsland,,Eastern dwarf galaxias,Galaxiella pusilla,,VU,,,Marine Fauna,10,,Potentially significant,
Greater Gippsland,,School shark,Galeorhinus galeus,,CD,,,Marine Fauna,10,,,
Greater Gippsland,,Whale shark,Rhincodon typus,,VU,,,Marine Fauna,10,,,
Greater Gippsland,,Blue warehou,Seriolella brama,,CD,Cd,,Marine Fauna,10,,,
Greater Gippsland,,Southern bluefin tuna,Thunnus maccoyii,,CD,Cd,,Marine Fauna,10,,,
Greater Gippsland,,Ghost shrimp species,Eucalliax tooradin,,,E,,Marine Fauna,10,,,
Greater Gippsland,,Ghost shrimp species,Michelea microphylla,,,V,,Marine Fauna,10,,,
Greater Gippsland,,Brittle star species,Amphiura triscacantha,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Sea-cucumber species,Apsolidium densum,,,E,,Marine Fauna,10,,,
Greater Gippsland,,Sea-cucumber species,Apsolidium handrecki,,,E,,Marine Fauna,10,,,
Greater Gippsland,,Brittle star species,Ophiocomina australis,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Sea-cucumber species,Pentocnus bursatus,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Sea-cucumber species,Thyone nigra,,,E,,Marine Fauna,10,,,
Greater Gippsland,,Sea-cucumber species,Trochodota shepherdi,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Stalked hydroid species,Ralpharia coccinea,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Chiton species,Bassethullia glypta,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Marine opisthobranch species,Platydoris galbana,,,E,,Marine Fauna,10,,,
Greater Gippsland,,Marine opisthobranch species,Rhodope rousei,,,Cr,,Marine Fauna,10,,,
Greater Gippsland,,Fairy Prion (southern),Pachyptila turtur subantarctica,,VU,,,Threatened seabird species,9,Likely,Not Significant,"Antipodean albatross, gibsons albatross, northern buller's albatross are all noted at not significant but I don't think in the list of species at the study area? (double check)"
Greater Gippsland,,Gould's Petrel,Pterodroma leucoptera leucoptera,,EN,,,Threatened seabird species,9,,Potentially significant,
Greater Gippsland,,Blue Petrel,Halobaena caerulea,,VU,,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Wandering Albatross,Diomedea exulans,,"VU, Migratory",Cr,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Black-browed Albatross,Thalassarche melanophris,,"VU, Migratory",,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Indian Yellow-nosed Albatross,Thalassarche carteri,,"VU, Migratory",,,Threatened seabird species,9,Likely,,
Greater Gippsland,,Grey-headed Albatross,Thalassarche chrysostoma,,"EN, Migratory",E,,Threatened seabird species,9,,,
Greater Gippsland,,Shy Albatross,Thalassarche cauta,,"EN, Migratory",E,,Threatened seabird species,9,,Potentially significant,
Greater Gippsland,,Sooty Albatross,Phoebetria fusca,,"VU, Migratory",Cr,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Southern Giant-Petrel,Macronectes giganteus,,"EN, Migratory",E,,Threatened seabird species,9,,Potentially significant,
Greater Gippsland,,Buller's Albatross,Thalassarche bulleri,,"VU, Migratory",,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Northern Giant-Petrel,Macronectes halli,,"VU, Migratory",E,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Southern Royal Albatross,Diomedea epomophora,,"VU, Migratory",Cr,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,White-capped Albatross,Thalassarche steadi,,"VU, Migratory",,,Threatened seabird species,9,,Not Significant,
Greater Gippsland,,Campbell Albatross,Thalassarche impavida,,"VU, Migratory",,,Threatened seabird species,9,Likely,Not Significant,
Greater Gippsland,,Light-mantled Sooty Albatross,Phoebetria palpebrata,,Migratory,Cr,,Threatened seabird species,9,,,
Greater Gippsland,,Southern Greater Glider,Petauroides volans,,VU,v,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,New Holland Mouse,Pseudomys novaehollandiae,,VU,E,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,Southern Brown Bandicoot,Isoodon obesulus obesulus,,EN,E,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,Grey-headed Flying Fox,Pteropus poliocephalus,,VU,v,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,Green and Golden Bell Frog,Litoria aurea,,VU,,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,Growling Grass Frog,Litoria raniformis,,VU,V,,Threatened non-avian terrestrial and freshwater fauna,8,Likely,,
Greater Gippsland,,Australian Grayling,Prototroctes maraena,,VU,E,,Threatened non-avian terrestrial and freshwater fauna,8,,Potentially significant,
Greater Gippsland,,Dwarf Galaxias,Galaxiella pusilla,,VU,E,,Threatened non-avian terrestrial and freshwater fauna,8,Unlikely,,
Greater Gippsland,,Macquarie Perch,Macquaria australasica,,EN,,,Threatened non-avian terrestrial and freshwater fauna,8,Unlikely,,
Greater Gippsland,,White-footed Dunnart,Sminthopsis leucopus,,,v,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Platypus,Ornithorhynchus anatinus,,,v,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Yellow-bellied Sheathtail Bat,Saccolaimus flaviventris,,,v,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Lace Monitor,Varanus varius,,,,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Swamp Skink,Lissolepis coventryi,,,E,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Glossy Grass Skink,Pseudemoia rawlinsoni,,,E,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Southern Toadlet,Pseudophryne semimarmorata,,,,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Martin's Toadlet,Uperoleia martini,,,Cr,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Flinders Pygmy Perch,Nannoperca sp. 1,,,v,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Alpine Darner Dragonfly,Austroaeschna (Austroaeschna) flavomaculata,,,v,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,South Gippsland Spiny Crayfish,Euastacus neodiversus,,,E,,Threatened non-avian terrestrial and freshwater fauna,8,,,
Greater Gippsland,,Glossy Black-Cockatoo,Calyptorhynchus lathami,,VU,cr,,Threatened terrestrial and shorebird species,7,Unlikely,,Table 7.3 says shorebid species impacts are not significant
Greater Gippsland,,Gang-gang Cockatoo,Callocephalon fimbriatum,,EN,,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Orange-bellied Parrot,Neophema chrysogaster,,CR,cr,,Threatened terrestrial and shorebird species,7,,Potentially significant,
Greater Gippsland,,Swift Parrot,Lathamus discolor,,CR,cr,,Threatened terrestrial and shorebird species,7,,Potentially significant,
Greater Gippsland,,White-throated Needletail,Hirundapus caudacutus,,"VU, Migratory",V,,Threatened terrestrial and shorebird species,7,Likely,,
Greater Gippsland,,Pilotbird,Pycnoptilus floccosus,,VU,,,Threatened terrestrial and shorebird species,7,Unlikely,,
Greater Gippsland,,Painted Honeyeater,Grantiella picta,,VU,V,,Threatened terrestrial and shorebird species,7,Unlikely,,
Greater Gippsland,,Grey Goshawk,Accipiter novaehollandiae,,,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Little Eagle,Hieraaetus morphnoides,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,White-bellied Sea-Eagle,Haliaeetus leucogaster,,,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Square-tailed Kite,Lophoictinia isura,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Barking Owl,Ninox connivens,,,Cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Powerful Owl,Ninox strenua,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Masked Owl,Tyto novaehollandiae,,,Cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Hooded Robin,Melanodryas cucullata,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Chestnut-rumped Heathwren,Calamanthus pyrrhopygius,,,v,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,White-browed Treecreeper,Climacteris affinis,,,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Diamond Firetail,Stagonopleura guttata,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Australian Painted-snipe,Rostratula australis,,EN,cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Australasian Bittern,Botaurus poiciloptilus,,N,cr,,Threatened terrestrial and shorebird species,7,,Not Significant,
Greater Gippsland,,Australian Fairy Tern,Sternula nereis nereis,,VU,,,Threatened terrestrial and shorebird species,7,Unlikely,Not Significant,
Greater Gippsland,,Bar-tailed Godwit (baueri),Limosa lapponica baueri,,"VU, Migratory",,,Threatened terrestrial and shorebird species,7,Unlikely,Not Significant,
Greater Gippsland,,Hooded Plover,Thinornis cucullatus,,VU,V,,Threatened terrestrial and shorebird species,7,Unlikely,,Eastern hooded plover is not significant - don't know if that is the same as hooded plover
Greater Gippsland,,Lesser Sand Plover,Charadrius mongolus,,"EN, Migratory",E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Greater Sand Plover,Charadrius leschenaultii,,"VU, Migratory",v,,Threatened terrestrial and shorebird species,7,Unlikely,Not Significant,
Greater Gippsland,,Eastem Curlew,Numenius madagascariensis,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Curlew Sandpiper,Calidris ferruginea,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,,Not significant,
Greater Gippsland,,Red Knot,Calidris canutus,,"EN, Migratory",E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Great Knot,Calidris tenuirostris,,"CR, Migratory",cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Lewin's Rail,Lewinia pectoralis,,,v,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Little Egret,Egretta garzetta,,,c,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Plumed Egret,Ardea intermedia plumifera,,,cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Eastem Great Egret,Ardea alba modesta,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Australian Little Bittern,Ixobrychus dubius,,,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Magpie Goose,Anseranas semipalmata,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Australasian Shoveler,Spatula rhynchotis,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Freckled Duck,Stictonetta naevosa,,,,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Hardhead,Aythya australis,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Blue-billed Duck,Oxyura australis,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Musk Dusk,Biziura lobata,,,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Caspian Tern,Hydroprogne caspia,,Migratory,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Little Tern,Sternula albifrons,,Migratory,cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Ruddy Turnstone,Arenaria interpres,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Grey Plover,Pluvialis squatarola,,Migratory,v,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Pacific Golden Plover,Pluvialis fulva,,Migratory,V,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Whimbrel,Numenius phaeopus,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Wood Sandpiper,Tringa glareola,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Grey-tailed Tattler,Tringa brevipes,,Migratory,Cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Common Sandpiper,Actitis hypoleucos,,Migratory,v,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Common Greenshank,Tringa nebularia,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Marsh Sandpiper,Tringa stagnatilis,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Terek Sandpiper,Xenus cinereus,,Migratory,E,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,Black-tailed Godwit,Limosa limosa,,Migratory,Cr,,Threatened terrestrial and shorebird species,7,,,
Greater Gippsland,,River Swamp Wallaby-grass,Amphibromus fluitans,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Eastern Spider-orchid,Caladenia orientalis,,EN,E,,Threatened flora,6,,,
Greater Gippsland,,Thick-lip Spider-orchid,Caladenia tessellata,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Dwarf Kerrawang,Commersonia prostrata,,EN,,,Threatened flora,6,,,
Greater Gippsland,,Matted Flax-lily,Dianella amoena,,EN,Cr,,Threatened flora,6,,,
Greater Gippsland,,Trailing Hop-bush,Dodonaea procumbens,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Strzelecki Gum,Eucalyptus strzeleckii,,VU,Cr,,Threatened flora,6,Likely,,
Greater Gippsland,,Maroon Leek-orchid,Prasophyllum frenchii,,EN,,,Threatened flora,6,,,
Greater Gippsland,,Dense Leek-orchid,Prasophyllum spicatum,,VU,Cr,,Threatened flora,6,Likely,,
Greater Gippsland,,Wellington Mint-bush,Prostanthera galbraithiae,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Green-striped Greenhood,Pterostylis chlorogramma,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Swamp Fireweed,Senecio psilocarpus,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Metallic Sun-orchid,Thelymitra epipactoides,,EN,,,Threatened flora,6,,,
Greater Gippsland,,Spiral Sun-orchid,Thelymitra matthewsii,,VU,,,Threatened flora,6,Likely,,
Greater Gippsland,,Swamp Everlasting,Xerochrysum palustre,,VU,Cr,,Threatened flora,6,Likely,,
Greater Gippsland,,Sticky Wattle,Acacia howittii,,,V,,Threatened flora,6,,,
Greater Gippsland,,Stunted Sheoak,Allocasuarina nana,,,E,,Threatened flora,6,,,
Greater Gippsland,,Sea Water-mat,Althenia marina,,,Cr,,Threatened flora,6,,,
Greater Gippsland,,Wavy Swamp Wallaby-grass,Amphibromus sinuatus,,,E,,Threatened flora,6,,,
Greater Gippsland,,Small-leaf Star-hair,Astrotricha parvifolia subsp. 1,,,cr,,Threatened flora,6,,,
Greater Gippsland,,Veined Spear-grass,Austrostipa rudis subsp. australis,,,E,,Threatened flora,6,,,
Greater Gippsland,,Velvet Apple—berry,Billardiera scandens s.s.,,,,,Threatened flora,6,,,
Greater Gippsland,,Variable Bossiaea,Bossiaea heterophylla,,,,,Threatened flora,6,,,
Greater Gippsland,,Elegant Daisy,Brachyscome salkiniae,,,V,,Threatened flora,6,,,
Greater Gippsland,,Orange-tip Finger-orchid,Caladenia aurantiaca,,,,,Threatened flora,6,,,
Greater Gippsland,,Slender pink-fingers,Caladenia vulgaris,,,V,,Threatened flora,6,,,
Greater Gippsland,,Naked Beard-orchid,Calochilus imberbis,,,cr,,Threatened flora,6,,,
Greater Gippsland,,Mountain Bird-orchid,Chiloglottis jeanesii,,,v,,Threatened flora,6,,,
Greater Gippsland,,Pale Swamp Everlasting,Coronidium gunnianum,,,cr,,Threatened flora,6,,,
Greater Gippsland,,Spurred Helmet-orchid,Corybas aconitiflorus,,,E,,Threatened flora,6,,,
Greater Gippsland,,Fringed Helmet-orchid,Corybas fimbriatus,,,,,Threatened flora,6,,,
Greater Gippsland,,Grey Billy-buttons,Craspedia canens,,,Cr,,Threatened flora,6,,,
Greater Gippsland,,Eastern Water-ribbons,Cycnogeton microtuberosum,,,,,Threatened flora,6,,,
Greater Gippsland,,Bear's-ear,Cymbonotus lawsonjanus,,,,,Threatened flora,6,,,
Greater Gippsland,,Purple Diuris,Diuris punctata var. punctata,,,,,Threatened flora,6,,,
Greater Gippsland,,Rough-grain Love-grass,Eragrostis trachycarpa,,,,,Threatened flora,6,,,
Greater Gippsland,,Gippsland Lakes Peppermint,Eucalyptus arenicola,,,,,Threatened flora,6,,,
Greater Gippsland,,Coast Grey-box,Eucalyptus bosistoana,,,,,Threatened flora,6,,,
Greater Gippsland,,Green Scentbark,Eucalyptus fulgens,,,,,Threatened flora,6,,,
Greater Gippsland,,Southern Blue-gum,Eucalyptus globulus subsp. lobulus,,,,,Threatened flora,6,,,
Greater Gippsland,,Yarra Gum,Eucalyptus yarraensis,,,Cr,,Threatened flora,6,,,
Greater Gippsland,,Veiled Fringe-sedge,Fimbristylis velata,,,E,,Threatened flora,6,,,
Greater Gippsland,,Golden Grevillea,Grevillea chrysophaea,,,V,,Threatened flora,6,,,
Greater Gippsland,,Salt Blown-grass,Lachnagrostis robusta,,,E,,Threatened flora,6,,,
Greater Gippsland,,Rough Blown-grass,Lachnagrostis rudis subsp. rudis,,,E,,Threatened flora,6,,,
Greater Gippsland,,Purple Blown-grass,Lachnagrostis semibarbata var. filifolia,,,E,,Threatened flora,6,,,
Greater Gippsland,,Purple Blown-grass,Lachnagrostis semibarbata var. semibarbata,,,E,,Threatened flora,6,,,
Greater Gippsland,,Dune Wood-sorrel,Oxalis rubens,,,E,,Threatened flora,6,,,
Greater Gippsland,,Heath Platysace,Platysace ericoides,,,E,,Threatened flora,6,,,
Greater Gippsland,,Coast Fescue,Poa billardierei,,,E,,Threatened flora,6,,,
Greater Gippsland,,Golden Pomaderris,Pomaderris aurea,,,,,Threatened flora,6,,,
Greater Gippsland,,Striped Pomaderris,Pomaderris pilifera subsp. pilifera,,,E,,Threatened flora,6,,,
Greater Gippsland,,Fire-ball Weed,Posidonia australis,,,E,,Threatened flora,6,,,
Greater Gippsland,,Fisch's Greenhood,Pterostylis fischii,,,E,,Threatened flora,6,,,
Greater Gippsland,,Mentone Greenhood,Pterostylis X toveyana,,,E,,Threatened flora,6,,,
Greater Gippsland,,Shingle Fireweed,Senecio diaschides,,,E,,Threatened flora,6,,,
Greater Gippsland,,Annual Fireweed,Senecio glomeratus subsp. Iongifructus,,,V,,Threatened flora,6,,,
Greater Gippsland,,Rush Lily,Sowerbaea Juncea,,,V,,Threatened flora,6,,,
Greater Gippsland,,Winter Sun-orchid,Thelymitra hiemalis,,,Cr,,Threatened flora,6,,,
Greater Gippsland,,Dusky Violet,Viola fuscoviolacea,,,E,,Threatened flora,6,,,
Greater Gippsland,,Parsley Xanthosia,Xanthosia leiophylla,,,E,,Threatened flora,6,,,
Greater Gippsland,,Pink Zieria,Zieria veronicea subsp. veronicea,,,E,,Threatened flora,6,,,
Greater Gippsland,,Coastal Dune Scrub / Coastal Dune Grassland Mosaic,EVC01,58.33,,,Depleted,Modeled EVC,5,,,
Greater Gippsland,,Coast Banksia Woodland,EVC02,58.3,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Damp Sands Herb-rich Woodland,EVC03,321.37,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Coastal Saltmarsh,EVC09,9.09,,,Least Concern,Modeled EVC,5,,,
Greater Gippsland,,Estuarine Wetland,EVC10,519.08,,,Least Concern,Modeled EVC,5,,,
Greater Gippsland,,Lowland Forest,EVC16,2268.17,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Riparian Forest,EVC18,44.11,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Damp Forest,EVC29,3.7,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Heathy Woodland,EVC48,866.36,,,Least Concern,Modeled EVC,5,,,
Greater Gippsland,,Swamp Scrub,EVC53,95.1,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Plains Grassy Woodland,EVC55,32.42,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Floodplain Riparian Woodland,EVC56,2.44,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Swampy Riparian Woodland,EVC83,95.1,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Plains Grassland,EVC132,71.4,,,Endangered,Modeled EVC,5,,,
Greater Gippsland,,Sedge Wetland,EVC136,55.47,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Plains Grassy Forest,EVC151,10.19,,,Vulnerable,Modeled EVC,5,,,
Greater Gippsland,,Riparian Scrub,EVC191,374.73,,,Vulnerable,Modeled EVC,5,,,
